Metric,Value,Unit,Formula / Driver
CPU servers,1882,servers,Workload-derived
GPU servers,131,servers,Workload-derived
Storage servers,726,servers,Workload-derived
Total servers,2739,servers,Sum of server classes
Rack equivalents,85.6,racks,Servers / servers per rack
Server IT load,4.032,MW,Workload-derived
Total IT load,4.516,MW,Adds network/other IT
Facility load before headroom,5.645,MW,IT x PUE
Facility design load,6.774,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,2.26,MW/site,Design MW / sites
CPU server CAPEX,22.58,EUR mm,CPU servers x unit cost
GPU server CAPEX,31.44,EUR mm,GPU servers x unit cost
Storage server CAPEX,25.41,EUR mm,Storage servers x unit cost
Network CAPEX,14.3,EUR mm,% of server CAPEX
Facility CAPEX,67.74,EUR mm,Design MW x facility EUR/MW
Total CAPEX,161.48,EUR mm,IT + network + facility
Annual energy,49453.0,MWh/year,"Facility MW x 8,760"
Electricity price used,198.6,EUR/MWh,Country parameter
Annual power OPEX,9.82,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,7.27,EUR mm/year,% of total CAPEX
Total annual OPEX,17.09,EUR mm/year,Power + non-power
