Metric,Value,Unit,Formula / Driver
CPU servers,653,servers,Workload-derived
GPU servers,37,servers,Workload-derived
Storage servers,240,servers,Workload-derived
Total servers,930,servers,Sum of server classes
Rack equivalents,29.1,racks,Servers / servers per rack
Server IT load,1.32,MW,Workload-derived
Total IT load,1.478,MW,Adds network/other IT
Facility load before headroom,1.847,MW,IT x PUE
Facility design load,2.217,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,0.74,MW/site,Design MW / sites
CPU server CAPEX,7.84,EUR mm,CPU servers x unit cost
GPU server CAPEX,8.88,EUR mm,GPU servers x unit cost
Storage server CAPEX,8.4,EUR mm,Storage servers x unit cost
Network CAPEX,4.52,EUR mm,% of server CAPEX
Facility CAPEX,22.17,EUR mm,Design MW x facility EUR/MW
Total CAPEX,51.81,EUR mm,IT + network + facility
Annual energy,16184.0,MWh/year,"Facility MW x 8,760"
Electricity price used,154.8,EUR/MWh,Country parameter
Annual power OPEX,2.51,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,2.33,EUR mm/year,% of total CAPEX
Total annual OPEX,4.84,EUR mm/year,Power + non-power
