Metric,Value,Unit,Formula / Driver
CPU servers,1715,servers,Workload-derived
GPU servers,90,servers,Workload-derived
Storage servers,610,servers,Workload-derived
Total servers,2415,servers,Sum of server classes
Rack equivalents,75.5,racks,Servers / servers per rack
Server IT load,3.388,MW,Workload-derived
Total IT load,3.795,MW,Adds network/other IT
Facility load before headroom,4.743,MW,IT x PUE
Facility design load,5.692,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,1.9,MW/site,Design MW / sites
CPU server CAPEX,20.58,EUR mm,CPU servers x unit cost
GPU server CAPEX,21.6,EUR mm,GPU servers x unit cost
Storage server CAPEX,21.35,EUR mm,Storage servers x unit cost
Network CAPEX,11.44,EUR mm,% of server CAPEX
Facility CAPEX,56.92,EUR mm,Design MW x facility EUR/MW
Total CAPEX,131.88,EUR mm,IT + network + facility
Annual energy,41550.0,MWh/year,"Facility MW x 8,760"
Electricity price used,213.2,EUR/MWh,Country parameter
Annual power OPEX,8.86,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,5.93,EUR mm/year,% of total CAPEX
Total annual OPEX,14.79,EUR mm/year,Power + non-power
