Metric,Value,Unit,Formula / Driver
CPU servers,1336,servers,Workload-derived
GPU servers,125,servers,Workload-derived
Storage servers,563,servers,Workload-derived
Total servers,2024,servers,Sum of server classes
Rack equivalents,63.2,racks,Servers / servers per rack
Server IT load,3.166,MW,Workload-derived
Total IT load,3.546,MW,Adds network/other IT
Facility load before headroom,4.433,MW,IT x PUE
Facility design load,5.319,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,1.77,MW/site,Design MW / sites
CPU server CAPEX,16.03,EUR mm,CPU servers x unit cost
GPU server CAPEX,30.0,EUR mm,GPU servers x unit cost
Storage server CAPEX,19.71,EUR mm,Storage servers x unit cost
Network CAPEX,11.83,EUR mm,% of server CAPEX
Facility CAPEX,53.19,EUR mm,Design MW x facility EUR/MW
Total CAPEX,130.76,EUR mm,IT + network + facility
Annual energy,38830.0,MWh/year,"Facility MW x 8,760"
Electricity price used,255.2,EUR/MWh,Country parameter
Annual power OPEX,9.91,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,5.88,EUR mm/year,% of total CAPEX
Total annual OPEX,15.79,EUR mm/year,Power + non-power
