Metric,Value,Unit,Formula / Driver
CPU servers,10208,servers,Workload-derived
GPU servers,671,servers,Workload-derived
Storage servers,3895,servers,Workload-derived
Total servers,14774,servers,Sum of server classes
Rack equivalents,461.7,racks,Servers / servers per rack
Server IT load,21.513,MW,Workload-derived
Total IT load,24.094,MW,Adds network/other IT
Facility load before headroom,30.118,MW,IT x PUE
Facility design load,36.141,MW,Adds design headroom
Sites required by MW,4,sites,Design MW / site capacity
Recommended sovereign sites,4,sites,"Max(capacity, minimum sites)"
Average design MW/site,9.04,MW/site,Design MW / sites
CPU server CAPEX,122.5,EUR mm,CPU servers x unit cost
GPU server CAPEX,161.04,EUR mm,GPU servers x unit cost
Storage server CAPEX,136.33,EUR mm,Storage servers x unit cost
Network CAPEX,75.57,EUR mm,% of server CAPEX
Facility CAPEX,361.41,EUR mm,Design MW x facility EUR/MW
Total CAPEX,856.85,EUR mm,IT + network + facility
Annual energy,263831.0,MWh/year,"Facility MW x 8,760"
Electricity price used,220.3,EUR/MWh,Country parameter
Annual power OPEX,58.12,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,38.56,EUR mm/year,% of total CAPEX
Total annual OPEX,96.68,EUR mm/year,Power + non-power
