Metric,Value,Unit,Formula / Driver
CPU servers,584,servers,Workload-derived
GPU servers,39,servers,Workload-derived
Storage servers,213,servers,Workload-derived
Total servers,836,servers,Sum of server classes
Rack equivalents,26.1,racks,Servers / servers per rack
Server IT load,1.226,MW,Workload-derived
Total IT load,1.373,MW,Adds network/other IT
Facility load before headroom,1.716,MW,IT x PUE
Facility design load,2.059,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,0.69,MW/site,Design MW / sites
CPU server CAPEX,7.01,EUR mm,CPU servers x unit cost
GPU server CAPEX,9.36,EUR mm,GPU servers x unit cost
Storage server CAPEX,7.46,EUR mm,Storage servers x unit cost
Network CAPEX,4.29,EUR mm,% of server CAPEX
Facility CAPEX,20.59,EUR mm,Design MW x facility EUR/MW
Total CAPEX,48.7,EUR mm,IT + network + facility
Annual energy,15033.0,MWh/year,"Facility MW x 8,760"
Electricity price used,159.1,EUR/MWh,Country parameter
Annual power OPEX,2.39,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,2.19,EUR mm/year,% of total CAPEX
Total annual OPEX,4.58,EUR mm/year,Power + non-power
