Metric,Value,Unit,Formula / Driver
CPU servers,1887,servers,Workload-derived
GPU servers,107,servers,Workload-derived
Storage servers,691,servers,Workload-derived
Total servers,2685,servers,Sum of server classes
Rack equivalents,83.9,racks,Servers / servers per rack
Server IT load,3.811,MW,Workload-derived
Total IT load,4.269,MW,Adds network/other IT
Facility load before headroom,5.336,MW,IT x PUE
Facility design load,6.403,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,2.13,MW/site,Design MW / sites
CPU server CAPEX,22.64,EUR mm,CPU servers x unit cost
GPU server CAPEX,25.68,EUR mm,GPU servers x unit cost
Storage server CAPEX,24.19,EUR mm,Storage servers x unit cost
Network CAPEX,13.05,EUR mm,% of server CAPEX
Facility CAPEX,64.03,EUR mm,Design MW x facility EUR/MW
Total CAPEX,149.59,EUR mm,IT + network + facility
Annual energy,46743.0,MWh/year,"Facility MW x 8,760"
Electricity price used,132.9,EUR/MWh,Country parameter
Annual power OPEX,6.21,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,6.73,EUR mm/year,% of total CAPEX
Total annual OPEX,12.94,EUR mm/year,Power + non-power
