Metric,Value,Unit,Formula / Driver
CPU servers,390,servers,Workload-derived
GPU servers,27,servers,Workload-derived
Storage servers,153,servers,Workload-derived
Total servers,570,servers,Sum of server classes
Rack equivalents,17.8,racks,Servers / servers per rack
Server IT load,0.837,MW,Workload-derived
Total IT load,0.937,MW,Adds network/other IT
Facility load before headroom,1.172,MW,IT x PUE
Facility design load,1.406,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,0.47,MW/site,Design MW / sites
CPU server CAPEX,4.68,EUR mm,CPU servers x unit cost
GPU server CAPEX,6.48,EUR mm,GPU servers x unit cost
Storage server CAPEX,5.36,EUR mm,Storage servers x unit cost
Network CAPEX,2.97,EUR mm,% of server CAPEX
Facility CAPEX,14.06,EUR mm,Design MW x facility EUR/MW
Total CAPEX,33.55,EUR mm,IT + network + facility
Annual energy,10265.0,MWh/year,"Facility MW x 8,760"
Electricity price used,150.3,EUR/MWh,Country parameter
Annual power OPEX,1.54,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,1.51,EUR mm/year,% of total CAPEX
Total annual OPEX,3.05,EUR mm/year,Power + non-power
