iso2,cpu_servers,gpu_servers,storage_servers,total_servers,racks,total_it_mw,design_mw,sites,avg_mw_per_site,capex_eur_mm,opex_power_eur_mm_yr,opex_total_eur_mm_yr
NL,3897,281,1513,5691,177.8,9.45,14.17,3,4.72,339.0,20.6,35.9
AT,1882,131,726,2739,85.6,4.52,6.77,3,2.26,161.5,9.8,17.1
BE,2430,167,931,3528,110.2,5.8,8.71,3,2.9,207.2,11.9,21.2
BG,1239,71,439,1749,54.7,2.79,4.19,3,1.4,97.7,4.3,8.7
CY,338,25,139,502,15.7,0.83,1.25,2,0.63,30.1,2.2,3.6
CZ,1883,111,698,2692,84.1,4.31,6.46,3,2.15,151.5,8.6,15.4
DE,16916,1146,6469,24531,766.6,40.25,60.37,6,10.06,1435.0,99.8,164.4
DK,1258,100,503,1861,58.2,3.15,4.73,3,1.58,114.2,4.2,9.3
EE,386,30,158,574,17.9,0.96,1.45,3,0.48,35.0,1.5,3.1
EL,1818,99,656,2573,80.4,4.07,6.1,3,2.03,141.8,7.7,14.1
ES,8731,531,3255,12517,391.2,20.14,30.21,4,7.55,710.5,29.2,61.2
FI,1175,89,453,1717,53.7,2.88,4.33,3,1.44,103.8,2.4,7.0
FR,13063,840,4930,18833,588.5,30.6,45.91,4,11.48,1085.5,51.4,100.3
HR,653,37,240,930,29.1,1.48,2.22,3,0.74,51.8,2.5,4.8
HU,1715,90,610,2415,75.5,3.79,5.69,3,1.9,131.9,8.9,14.8
IE,1336,125,563,2024,63.2,3.55,5.32,3,1.77,130.8,9.9,15.8
IT,10208,671,3895,14774,461.7,24.09,36.14,4,9.04,856.8,58.1,96.7
LT,584,39,213,836,26.1,1.37,2.06,3,0.69,48.7,2.4,4.6
LU,354,27,145,526,16.4,0.88,1.32,2,0.66,31.8,1.7,3.1
LV,417,30,161,608,19.0,1.01,1.51,3,0.5,36.2,1.5,3.1
MT,338,25,139,502,15.7,0.83,1.25,2,0.63,30.1,1.2,2.6
PL,7201,431,2599,10231,319.7,16.45,24.68,4,6.17,578.1,34.5,60.5
PT,1887,107,691,2685,83.9,4.27,6.4,3,2.13,149.6,6.2,12.9
RO,3438,211,1245,4894,152.9,7.91,11.86,4,2.96,278.4,16.3,28.9
SE,2210,154,848,3212,100.4,5.3,7.95,3,2.65,189.4,5.6,14.2
SI,390,27,153,570,17.8,0.94,1.41,3,0.47,33.5,1.5,3.1
SK,972,53,350,1375,43.0,2.17,3.26,3,1.09,75.8,5.0,8.4
